Order	Open time	Type	Lots	Symbol	Open price	StopLoss	TakeProfit	Close time	Close price	Profit in points	Balance in points	Comment	Magic
15227170	2009.06.10 15:29	buy	0.1	EURCHF	1.5132	0	0	2009.06.10 17:19	1.5118	-14	516		2000
15238226	2009.06.10 21:04	buy	0.1	EURUSD	1.3977	1.3952	0	2009.06.11 14:33	1.3952	-25	491	[sl]	0
15256713	2009.06.11 15:47	sell	0.1	EURJPY	137.81	138.01	0	2009.06.12 02:26	137.95	-14	477		2000
15258950	2009.06.11 16:47	sell	0.1	EURUSD	1.4084	1.4095	0	2009.06.11 17:27	1.4095	-11	466	[sl]	0
15267868	2009.06.11 21:16	sell	0.1	EURUSD	1.413	1.402	0	2009.06.12 16:21	1.3991	139	605		0
15348290	2009.06.16 13:49	sell	0.1	EURUSD	1.3901	1.3928	0	2009.06.16 14:31	1.3928	-27	578	[sl]	0
15353910	2009.06.16 15:34	sell	0.1	EURUSD	1.3869	1.3891	0	2009.06.16 16:39	1.3891	-22	556	[sl]	0
15357959	2009.06.16 16:53	sell	0.1	EURUSD	1.3887	1.3909	0	2009.06.16 17:04	1.3909	-22	534	[sl]	0
15578389	2009.06.25 22:13	sell	0.1	EURUSD	1.3992	1.4014	0	2009.06.26 02:00	1.4014	-22	512	[sl]	0
15807559	2009.07.09 22:36	sell	0.1	EURUSD	1.4034	1.4034	0	2009.07.10 13:00	1.3905	129	641		0
15863442	2009.07.14 13:43	sell	0.1	EURUSD	1.4005	1.3934	0	2009.07.14 20:22	1.3925	80	721		0
15914808	2009.07.16 13:28	sell	0.1	EURUSD	1.4127	0	0	2009.07.16 13:30	1.415	-23	698		1001
15915569	2009.07.16 13:50	sell	0.1	EURUSD	1.4127	1.4142	0	2009.07.16 20:15	1.4142	-15	683	[sl]	0
15924046	2009.07.16 21:06	sell	0.1	EURUSD	1.4139	1.4162	0	2009.07.16 22:30	1.4162	-23	660	[sl]	0
15926211	2009.07.16 23:11	sell	0.1	EURUSD	1.4145	1.4145	0	2009.07.17 15:10	1.4109	36	696		0
